ColorCollectionID,ColorID,ColorName,ColorNumber1,ColorNumber2,ColorType,Counter
1157,110829,"0506-R23B",,,0,30979
1157,110830,"0508-B81G",,,0,30980
1157,110831,"0509-R11B",,,0,30981
1157,110832,"0509-Y58R",,,0,30982
1157,110833,"0510-B41G",,,0,30983
1157,110834,"0510-Y76R",,,0,30984
1157,110835,"0511-R30B",,,0,30985
1157,110836,"0511-Y42R",,,0,30986
1157,110837,"0512-B73G",,,0,30987
1157,110838,"0518-Y99R",,,0,30988
1157,110839,"0522-B94G",,,0,30989
1157,110840,"0528-B91G",,,0,30990
1157,110841,"0528-R28B",,,0,30991
1157,110842,"0530-B01G",,,0,30992
1157,110843,"0530-G72Y",,,0,30993
1157,110844,"0530-Y98R",,,0,30994
1157,110845,"0536-G11Y",,,0,30995
1157,110846,"0539-G58Y",,,0,30996
1157,110847,"0539-G99Y",,,0,30997
1157,110848,"0539-R09B",,,0,30998
1157,251356,"0540-B50G",,,0,30999
1157,251367,"0540-B70G",,,0,31000
1157,251373,"0540-B90G",,,0,31001
1157,110849,"0540-G67Y",,,0,31002
1157,251316,"0540-R80B",,,0,31003
1157,110850,"0540-Y46R",,,0,31004
1157,110851,"0549-Y98R",,,0,31005
1157,110852,"0550-Y53R",,,0,31006
1157,110853,"0550-Y95R",,,0,31007
1157,110854,"0553-G49Y",,,0,31008
1157,110855,"0559-Y93R",,,0,31009
1157,110856,"0570-G30Y",,,0,31010
1157,110857,"0601-Y09R",,,0,31011
1157,251378,"0602-G20Y",,,0,31012
1157,251286,"0602-Y64R",,,0,31013
1157,251287,"0602-Y67R",,,0,31014
1157,251374,"0603-B90G",,,0,31015
1157,110858,"0603-G11Y",,,0,31016
1157,110859,"0603-G15Y",,,0,31017
1157,110860,"0603-G67Y",,,0,31018
1157,251399,"0603-Y27R",,,0,31019
1157,110861,"0603-Y29R",,,0,31020
1157,251284,"0603-Y42R",,,0,31021
1157,110862,"0604-B60G",,,0,31022
1157,110863,"0604-G",,,0,31023
1157,110864,"0605-B27G",,,0,31024
1157,110865,"0605-Y76R",,,0,31025
1157,110866,"0605-Y87R",,,0,31026
1157,110867,"0606-B11G",,,0,31027
1157,110868,"0606-B29G",,,0,31028
1157,110869,"0607-G27Y",,,0,31029
1157,110870,"0608-G62Y",,,0,31030
1157,110871,"0609-R37B",,,0,31031
1157,110872,"0610-R",,,0,31032
1157,110873,"0611-B09G",,,0,31033
1157,110874,"0611-G95Y",,,0,31034
1157,110875,"0611-Y19R",,,0,31035
1157,110876,"0611-Y46R",,,0,31036
1157,110877,"0612-Y15R",,,0,31037
1157,110878,"0614-B93G",,,0,31038
1157,110879,"0616-B04G",,,0,31039
1157,110880,"0616-B36G",,,0,31040
1157,110881,"0619-R05B",,,0,31041
1157,110882,"0619-Y34R",,,0,31042
1157,110883,"0619-Y45R",,,0,31043
1157,110884,"0621-Y",,,0,31044
1157,110885,"0621-Y20R",,,0,31045
1157,110886,"0623-B02G",,,0,31046
1157,110887,"0623-Y45R",,,0,31047
1157,110888,"0626-Y45R",,,0,31048
1157,110889,"0627-B28G",,,0,31049
1157,110890,"0628-B46G",,,0,31050
1157,110891,"0629-B10G",,,0,31051
1157,110892,"0630-Y19R",,,0,31052
1157,110893,"0631-Y03R",,,0,31053
1157,110894,"0631-Y27R",,,0,31054
1157,110895,"0632-B68G",,,0,31055
1157,110896,"0637-B11G",,,0,31056
1157,110897,"0637-R29B",,,0,31057
1157,110898,"0638-Y11R",,,0,31058
1157,110899,"0639-Y22R",,,0,31059
1157,110900,"0640-Y31R",,,0,31060
1157,110901,"0646-Y11R",,,0,31061
1157,110902,"0650-G21Y",,,0,31062
1157,110903,"0660-Y11R",,,0,31063
1157,110904,"0666-Y98R",,,0,31064
1157,110905,"0671-Y68R",,,0,31065
1157,110906,"0676-Y74R",,,0,31066
1157,110907,"0678-Y78R",,,0,31067
1157,110908,"0704-R37B",,,0,31068
1157,110909,"0704-R62B",,,0,31069
1157,110910,"0704-R75B",,,0,31070
1157,110911,"0705-R39B",,,0,31071
1157,110912,"0705-R80B",,,0,31072
1157,110913,"0705-R96B",,,0,31073
1157,110914,"0706-G90Y",,,0,31074
1157,110915,"0706-Y43R",,,0,31075
1157,110916,"0707-R42B",,,0,31076
1157,110917,"0709-R89B",,,0,31077
1157,110918,"0710-R62B",,,0,31078
